season_start,date,player_name,team_abv
1990,"July 5, 1990",Anthony Bowie,HOU
1990,"July 9, 1990",Randy Allen,SAC
1990,"July 9, 1990",Michael Jackson,SAC
1990,"July 24, 1990",Melvin Turpin,WSB
1990,"August 10, 1990",Scott Haffner,MIA
1990,"August 15, 1990",Michael Cooper,LAL
1990,"September 5, 1990",Brian Rowsom,CHH
1990,"October 1, 1990",Uwe Blab,SAS
1990,"October 13, 1990",Quintin Dailey,LAL
1990,"October 15, 1990",Mario Elie,LAL
1990,"October 15, 1990",Jawann Oldham,DEN
1990,"October 15, 1990",Clifford Lett,DEN
1990,"October 15, 1990",Craig Neal,CHI
1990,"October 19, 1990",Jim Grandholm,DAL
1990,"October 19, 1990",Steve Bardo,ATL
1990,"October 20, 1990",Tony Harris,WSB
1990,"October 22, 1990",Scott Haffner,ATL
1990,"October 22, 1990",Mike Morrison,WSB
1990,"October 23, 1990",Jim Les,CHH
1990,"October 24, 1990",Andre Turner,CHH
1990,"October 28, 1990",Kelvin Upshaw,DAL
1990,"October 29, 1990",Jim Farmer,DEN
1990,"October 29, 1990",Leon Wood,MIN
1990,"October 29, 1990",Dan O'Sullivan,NJN
1990,"October 29, 1990",Dan Godfread,NJN
1990,"October 29, 1990",Doug Lee,NJN
1990,"October 30, 1990",Dyron Nix,IND
1990,"October 30, 1990",Richard Anderson,CHH
1990,"October 30, 1990",Mike Holton,CHH
1990,"October 30, 1990",Rick Calloway,SAS
1990,"October 30, 1990",Cedric Ball,LAC
1990,"October 30, 1990",Pete Myers,NJN
1990,"October 30, 1990",Anthony Mason,NJN
1990,"October 30, 1990",Jeff Sanders,MIA
1990,"October 30, 1990",Clinton Smith,LAC
1990,"October 31, 1990",Marty Conlon,SAC
1990,"November 1, 1990",Mike Mitchell,SAS
1990,"November 1, 1990",Byron Dinkins,HOU
1990,"November 1, 1990",Tim Legler,MIN
1990,"November 1, 1990",Gary Leonard,MIN
1990,"November 1, 1990",Roy Marble,HOU
1990,"November 2, 1990",Henry James,CLE
1990,"November 13, 1990",Howard Wright,ATL
1990,"November 14, 1990",Ricky Blanton,PHO
1990,"November 15, 1990",Mark McNamara,ORL
1990,"November 15, 1990",Stephen Thompson,DEN
1990,"November 20, 1990",Corey Gaines,DEN
1990,"November 26, 1990",Bart Kofoed,GSW
1990,"December 3, 1990",Alan Ogg,MIA
1990,"December 4, 1990",Eric Johnson,UTA
1990,"December 4, 1990",Mike Woodson,HOU
1990,"December 5, 1990",Milt Wagner,MIA
1990,"December 5, 1990",Cedric Ball,LAC
1990,"December 6, 1990",Tony Brown,LAL
1990,"December 10, 1990",Larry Robinson,WSB
1990,"December 12, 1990",Howard Wright,ORL
1990,"December 17, 1990",Byron Dinkins,SAS
1990,"December 18, 1990",Chris Munk,UTA
1990,"December 24, 1990",Pat Cummings,UTA
1990,"December 24, 1990",T.R. Dunn,DEN
1990,"December 24, 1990",Leon Wood,SAC
1990,"December 24, 1990",Mike Woodson,CLE
1990,"December 24, 1990",Dave Popson,BOS
1990,"December 24, 1990",Kelvin Upshaw,DAL
1990,"December 24, 1990",Reggie Williams,SAS
1990,"December 24, 1990",Avery Johnson,DEN
1990,"December 24, 1990",Jim Farmer,PHI
1990,"December 24, 1990",Pete Myers,SAS
1990,"December 26, 1990",Greg Butler,LAC
1990,"January 11, 1991",Steve Johnson,GSW
1990,"January 23, 1991",Stuart Gray,NYK
1990,"January 23, 1991",Kenny Battle,PHO
1990,"January 31, 1991",Jeff Sanders,CHH
1990,"February 5, 1991",Jawann Oldham,IND
1990,"February 23, 1991",Clinton Smith,WSB
1990,"February 25, 1991",Clifford Lett,SAS
1990,"March 4, 1991",Jay Edwards,LAC
1990,"March 19, 1991",Larry Robinson,GSW
1990,"April 1, 1991",Dan O'Sullivan,UTA
1990,"April 1, 1991",Trevor Wilson,ATL
1990,"April 5, 1991",John Long,DET
1990,"May 21, 1991",Dave Greenwood,SAS
1990,"May 31, 1991",Steve Scheffler,CHH
1990,"June 21, 1991",Ken Bannister,LAC
1990,"June 28, 1991",David Wingate,SAS
1991,"July 15, 1991",Randolph Keys,CHH
1991,"July 24, 1991",Scott Meents,UTA
1991,"August 16, 1991",Donald Royal,MIN
1991,"August 27, 1991",Kennard Winchester,HOU
1991,"September 4, 1991",Vinnie Johnson,DET
1991,"October 2, 1991",Larry Drew,LAL
1991,"October 2, 1991",Mychal Thompson,LAL
1991,"October 3, 1991",Gary Leonard,ATL
1991,"October 7, 1991",Bob McCann,DAL
1991,"October 7, 1991",Jeff Sanders,NYK
1991,"October 9, 1991",Mike Morrison,ORL
1991,"October 11, 1991",Scott Haffner,CHH
1991,"October 14, 1991",Howard Wright,DEN
1991,"October 22, 1991",Darrell Griffith,UTA
1991,"October 23, 1991",Adrian Caldwell,HOU
1991,"October 24, 1991",Demetrius Calip,LAL
1991,"October 25, 1991",Larry Robinson,WSB
1991,"October 25, 1991",Ralph Sampson,SAC
1991,"October 25, 1991",Emanual Davis,NJN
1991,"October 28, 1991",Kevin Pritchard,SAS
1991,"October 28, 1991",Gerald Henderson,HOU
1991,"October 28, 1991",Dan Godfread,MIN
1991,"October 28, 1991",Donald Royal,ORL
1991,"October 28, 1991",Michael Ansley,MIL
1991,"October 28, 1991",Dan O'Sullivan,UTA
1991,"October 28, 1991",Walter Palmer,UTA
1991,"October 29, 1991",Walter Davis,POR
1991,"October 29, 1991",Rory Sparrow,LAC
1991,"October 29, 1991",MiloÅ¡ BabiÄ,MIA
1991,"October 29, 1991",Stephen Thompson,SAC
1991,"October 29, 1991",Dave Popson,ATL
1991,"October 29, 1991",Tim Legler,WSB
1991,"October 29, 1991",Doug Overton,DET
1991,"October 30, 1991",Jim Grandholm,DAL
1991,"October 30, 1991",Joe Barry Carroll,PHO
1991,"October 30, 1991",Kennard Winchester,BOS
1991,"October 30, 1991",Chuck Nevitt,CHI
1991,"October 30, 1991",Michael Smith,BOS
1991,"October 30, 1991",Steve Scheffler,BOS
1991,"October 31, 1991",Rickey Green,PHI
1991,"October 31, 1991",Paul Graham,ATL
1991,"October 31, 1991",Billy Thompson,MIL
1991,"October 31, 1991",Corey Gaines,WSB
1991,"November 2, 1991",Tony Massenburg,SAS
1991,"November 4, 1991",Carl Thomas,SAC
1991,"November 5, 1991",Kevin Lynch,CHH
1991,"November 8, 1991",Dave Feitl,NJN
1991,"November 11, 1991",Kennard Winchester,HOU
1991,"November 12, 1991",JoÃ£o Vianna,DAL
1991,"November 12, 1991",Steve Bardo,SAS
1991,"November 14, 1991",Carlton McKinney,NYK
1991,"November 14, 1991",Demetrius Calip,LAL
1991,"November 14, 1991",John Morton,CLE
1991,"November 15, 1991",Trent Tucker,PHO
1991,"November 18, 1991",Mike Sanders,IND
1991,"November 19, 1991",Albert King,WSB
1991,"November 25, 1991",Kevin Pritchard,BOS
1991,"November 25, 1991",Rory Sparrow,CHI
1991,"November 25, 1991",Jerome Lane,DEN
1991,"November 29, 1991",Tellis Frank,MIN
1991,"December 2, 1991",Chucky Brown,CLE
1991,"December 3, 1991",Lanard Copeland,LAC
1991,"December 4, 1991",Morlon Wiley,ORL
1991,"December 6, 1991",Demetrius Calip,LAL
1991,"December 9, 1991",Dan Godfread,HOU
1991,"December 9, 1991",Greg Grant,CHH
1991,"December 10, 1991",Quintin Dailey,SEA
1991,"December 12, 1991",Tom Garrick,SAS
1991,"December 13, 1991",Sean Higgins,SAS
1991,"December 17, 1991",Jud Buechler,SAS
1991,"December 17, 1991",Avery Johnson,SAS
1991,"December 17, 1991",Chuck Nevitt,CHI
1991,"December 18, 1991",Myron Brown,MIN
1991,"December 18, 1991",Bobby Phills,MIL
1991,"December 21, 1991",Mike Smrek,GSW
1991,"December 23, 1991",Morlon Wiley,SAS
1991,"December 23, 1991",Tharon Mayes,PHI
1991,"December 30, 1991",Mark Randall,CHI
1991,"December 31, 1991",MiloÅ¡ BabiÄ,MIA
1991,"January 2, 1992",Gary Leonard,ATL
1991,"January 2, 1992",Tony Brown,LAC
1991,"January 6, 1992",Ralph Sampson,WSB
1991,"January 6, 1992",Michael Ansley,PHI
1991,"January 7, 1992",David Rivers,LAC
1991,"January 7, 1992",Ron Grandison,CHH
1991,"January 7, 1992",Danny Young,POR
1991,"January 7, 1992",Tony Massenburg,CHH
1991,"January 7, 1992",Gerald Henderson,HOU
1991,"January 7, 1992",Stephen Thompson,ORL
1991,"January 7, 1992",Kevin Pritchard,BOS
1991,"February 13, 1992",Jerome Lane,IND
1991,"February 20, 1992",Cedric Hunter,CHH
1991,"March 5, 1992",Derek Strong,PHI
1991,"March 6, 1992",Tom Garrick,MIN
1991,"March 9, 1992",Tharon Mayes,LAC
1991,"March 9, 1992",Billy Thompson,GSW
1991,"March 23, 1992",Rickey Green,BOS
1991,"March 27, 1992",Winston Bennett,CLE
1991,"June 16, 1992",Tod Murphy,MIN
1991,"June 17, 1992",Steve Burtt,PHO
1991,"June 24, 1992",Kiki Vandeweghe,NYK
1991,"June 25, 1992",Tom Copa,SAS
1991,"June 25, 1992",Vinnie Johnson,SAS
1991,"June 28, 1992",Donald Royal,SAS
1992,"July 10, 1992",Craig Hodges,CHI
1992,"July 20, 1992",Dwayne Schintzius,SAC
1992,"August 26, 1992",John Turner,HOU
1992,"September 18, 1992",Jim Petersen,GSW
1992,"September 29, 1992",Sean Higgins,LAL
1992,"October 1, 1992",Dell Demps,GSW
1992,"October 6, 1992",Randy Wittman,IND
1992,"October 12, 1992",William Bedford,WSB
