SEASON_START,TOTAL_REG_SEASON_GAMES_PER_TEAM,REG_START,REG_END,POST_END
1949,,1949-10-29,1950-03-19,1950-04-23
1950,,1950-10-31,1951-03-18,1951-04-21
1951,66.0,1951-11-01,1952-03-16,1952-04-25
1952,,1952-10-31,1953-03-17,1953-04-10
1953,72.0,1953-10-30,1954-03-14,1954-04-12
1954,72.0,1954-10-30,1955-03-14,1955-04-10
1955,72.0,1955-11-05,1956-03-14,1956-04-17
1956,72.0,1956-10-27,1957-03-13,1957-04-13
1957,72.0,1957-10-22,1958-03-12,1958-04-12
1958,72.0,1958-10-17,1959-03-11,1959-04-09
1959,75.0,1959-10-17,1960-03-10,1960-04-09
1960,79.0,1960-10-19,1961-03-12,1961-04-11
1961,80.0,1961-10-19,1962-03-14,1962-04-18
1962,80.0,1962-10-16,1963-03-17,1963-04-23
1963,80.0,1963-10-16,1964-03-18,1964-04-26
1964,80.0,1964-10-16,1965-03-21,1965-04-25
1965,80.0,1965-10-15,1966-03-22,1966-04-28
1966,81.0,1966-10-15,1967-03-19,1967-04-24
1967,82.0,1967-10-13,1968-03-20,1968-05-02
1968,82.0,1968-10-15,1969-03-24,1969-05-05
1969,82.0,1969-10-14,1970-03-22,1970-05-08
1970,82.0,1970-10-13,1971-03-23,1971-04-30
1971,82.0,1971-10-12,1972-03-26,1972-05-07
1972,82.0,1972-10-10,1973-03-28,1973-05-10
1973,82.0,1973-10-09,1974-03-27,1974-05-12
1974,82.0,1974-10-17,1975-04-06,1975-05-25
1975,82.0,1975-10-23,1976-04-11,1976-06-06
1976,82.0,1976-10-21,1977-04-10,1977-06-05
1977,82.0,1977-10-18,1978-04-09,1978-06-07
1978,82.0,1978-10-13,1979-04-08,1979-06-01
1979,82.0,1979-10-12,1980-03-30,1980-05-16
1980,82.0,1980-10-10,1981-03-29,1981-05-14
1981,82.0,1981-10-30,1982-04-18,1982-06-08
1982,82.0,1982-10-29,1983-04-17,1983-05-31
1983,82.0,1983-10-28,1984-04-15,1984-06-12
1984,82.0,1984-10-26,1985-04-14,1985-06-09
1985,82.0,1985-10-25,1986-04-13,1986-06-08
1986,82.0,1986-10-31,1987-04-19,1987-06-14
1987,82.0,1987-11-06,1988-04-23,1988-06-21
1988,82.0,1988-11-04,1989-04-23,1989-06-13
1989,82.0,1989-11-03,1990-04-22,1990-06-14
1990,82.0,1990-11-02,1991-04-21,1991-06-12
1991,82.0,1991-11-01,1992-04-19,1992-06-14
1992,82.0,1992-11-06,1993-04-25,1993-06-20
1993,82.0,1993-11-05,1994-04-24,1994-06-22
1994,82.0,1994-11-04,1995-04-23,1995-06-14
1995,82.0,1995-11-03,1996-04-21,1996-06-16
1996,82.0,1996-11-01,1997-04-20,1997-06-13
1997,82.0,1997-10-31,1998-04-19,1998-06-14
1998,50.0,1999-02-05,1999-05-05,1999-06-25
1999,82.0,1999-11-02,2000-04-19,2000-06-19
2000,82.0,2000-10-31,2001-04-18,2001-06-15
2001,82.0,2001-10-30,2002-04-17,2002-06-12
2002,82.0,2002-10-29,2003-04-16,2003-06-15
2003,82.0,2003-10-28,2004-04-14,2004-06-15
2004,82.0,2004-11-02,2005-04-20,2005-06-23
2005,82.0,2005-11-01,2006-04-19,2006-06-20
2006,82.0,2006-10-31,2007-04-18,2007-06-14
2007,82.0,2007-10-30,2008-04-16,2008-06-17
2008,82.0,2008-10-28,2009-04-16,2009-06-14
2009,82.0,2009-10-27,2010-04-14,2010-06-17
2010,82.0,2010-10-26,2011-04-13,2011-06-12
2011,66.0,2011-12-25,2012-04-26,2012-06-21
2012,,2012-10-30,2013-04-17,2013-06-20
2013,82.0,2013-10-29,2014-04-16,2014-06-15
2014,82.0,2014-10-28,2015-04-15,2015-06-16
2015,82.0,2015-10-27,2016-04-13,2016-06-19
2016,82.0,2016-10-25,2017-04-12,2017-06-12
2017,82.0,2017-10-17,2018-04-11,2018-06-08
2018,82.0,2018-10-16,2019-04-10,2019-06-13
2019,,2019-10-22,2020-08-14,2020-10-11
2020,72.0,2020-12-22,2021-05-16,2021-06-20
2021,82.0,2021-10-19,2022-04-10,2022-06-16
2022,82.0,2022-10-18,2023-04-09,2023-06-12
2023,82.0,2023-10-24,2024-04-14,2024-06-17
2024,82.0,2024-10-22,2025-04-13,2024-01-01
