season_start,date,player_name,team_abv,player_id
1990,"July 5, 1990",Anthony Bowie,HOU,194
1990,"July 9, 1990",Randy Allen,SAC,76025
1990,"July 9, 1990",Michael Jackson,SAC,77104
1990,"July 24, 1990",Melvin Turpin,WSB,78386
1990,"August 10, 1990",Scott Haffner,MIA,76911
1990,"August 15, 1990",Michael Cooper,LAL,76444
1990,"September 5, 1990",Brian Rowsom,CHH,78031
1990,"October 1, 1990",Uwe Blab,SAS,76172
1990,"October 13, 1990",Quintin Dailey,LAL,76497
1990,"October 15, 1990",Mario Elie,LAL,53
1990,"October 15, 1990",Jawann Oldham,DEN,77757
1990,"October 15, 1990",Clifford Lett,DEN,77374
1990,"October 15, 1990",Craig Neal,CHI,77694
1990,"October 19, 1990",Jim Grandholm,DAL,76844
1990,"October 19, 1990",Steve Bardo,ATL,76097
1990,"October 20, 1990",Tony Harris,WSB,76961
1990,"October 22, 1990",Scott Haffner,ATL,76911
1990,"October 22, 1990",Mike Morrison,WSB,77649
1990,"October 23, 1990",Jim Les,CHH,77372
1990,"October 24, 1990",Andre Turner,CHH,78377
1990,"October 28, 1990",Kelvin Upshaw,DAL,78394
1990,"October 29, 1990",Jim Farmer,DEN,76695
1990,"October 29, 1990",Leon Wood,MIN,78611
1990,"October 29, 1990",Dan O'Sullivan,NJN,77776
1990,"October 29, 1990",Dan Godfread,NJN,76827
1990,"October 29, 1990",Doug Lee,NJN,77358
1990,"October 30, 1990",Dyron Nix,IND,77720
1990,"October 30, 1990",Richard Anderson,CHH,76045
1990,"October 30, 1990",Mike Holton,CHH,77047
1990,"October 30, 1990",Rick Calloway,SAS,76334
1990,"October 30, 1990",Cedric Ball,LAC,76090
1990,"October 30, 1990",Pete Myers,NJN,939
1990,"October 30, 1990",Anthony Mason,NJN,193
1990,"October 30, 1990",Jeff Sanders,MIA,1874
1990,"October 30, 1990",Clinton Smith,LAC,78181
1990,"October 31, 1990",Marty Conlon,SAC,55
1990,"November 1, 1990",Mike Mitchell,SAS,77615
1990,"November 1, 1990",Byron Dinkins,HOU,76574
1990,"November 1, 1990",Tim Legler,MIN,100
1990,"November 1, 1990",Gary Leonard,MIN,77370
1990,"November 1, 1990",Roy Marble,HOU,77460
1990,"November 2, 1990",Henry James,CLE,1080
1990,"November 13, 1990",Howard Wright,ATL,78621
1990,"November 14, 1990",Ricky Blanton,PHO,76184
1990,"November 15, 1990",Mark McNamara,ORL,77558
1990,"November 15, 1990",Stephen Thompson,DEN,78333
1990,"November 20, 1990",Corey Gaines,DEN,76770
1990,"November 26, 1990",Bart Kofoed,GSW,77294
1990,"December 3, 1990",Alan Ogg,MIA,1628
1990,"December 4, 1990",Eric Johnson,UTA,77145
1990,"December 4, 1990",Mike Woodson,HOU,78614
1990,"December 5, 1990",Milt Wagner,MIA,78429
1990,"December 5, 1990",Cedric Ball,LAC,76090
1990,"December 6, 1990",Tony Brown,LAL,76268
1990,"December 10, 1990",Larry Robinson,WSB,1683
1990,"December 12, 1990",Howard Wright,ORL,78621
1990,"December 17, 1990",Byron Dinkins,SAS,76574
1990,"December 18, 1990",Chris Munk,UTA,77664
1990,"December 24, 1990",Pat Cummings,UTA,76483
1990,"December 24, 1990",T.R. Dunn,DEN,76618
1990,"December 24, 1990",Leon Wood,SAC,78611
1990,"December 24, 1990",Mike Woodson,CLE,78614
1990,"December 24, 1990",Dave Popson,BOS,77872
1990,"December 24, 1990",Kelvin Upshaw,DAL,78394
1990,"December 24, 1990",Reggie Williams,SAS,199
1990,"December 24, 1990",Avery Johnson,DEN,422
1990,"December 24, 1990",Jim Farmer,PHI,76695
1990,"December 24, 1990",Pete Myers,SAS,939
1990,"December 26, 1990",Greg Butler,LAC,76320
1990,"January 11, 1991",Steve Johnson,GSW,77134
1990,"January 23, 1991",Stuart Gray,NYK,76861
1990,"January 23, 1991",Kenny Battle,PHO,76123
1990,"January 31, 1991",Jeff Sanders,CHH,1874
1990,"February 5, 1991",Jawann Oldham,IND,77757
1990,"February 23, 1991",Clinton Smith,WSB,78181
1990,"February 25, 1991",Clifford Lett,SAS,77374
1990,"March 4, 1991",Jay Edwards,LAC,76643
1990,"March 19, 1991",Larry Robinson,GSW,1683
1990,"April 1, 1991",Dan O'Sullivan,UTA,77776
1990,"April 1, 1991",Trevor Wilson,ATL,1027
1990,"April 5, 1991",John Long,DET,1381
1990,"May 21, 1991",Dave Greenwood,SAS,76881
1990,"May 31, 1991",Steve Scheffler,CHH,88
1990,"June 21, 1991",Ken Bannister,LAC,76094
1990,"June 28, 1991",David Wingate,SAS,766
1991,"July 15, 1991",Randolph Keys,CHH,705
1991,"July 24, 1991",Scott Meents,UTA,77571
1991,"August 16, 1991",Donald Royal,MIN,140
1991,"August 27, 1991",Kennard Winchester,HOU,78589
1991,"September 4, 1991",Vinnie Johnson,DET,77167
1991,"October 2, 1991",Larry Drew,LAL,76599
1991,"October 2, 1991",Mychal Thompson,LAL,78331
1991,"October 3, 1991",Gary Leonard,ATL,77370
1991,"October 7, 1991",Bob McCann,DAL,737
