Year,Team,Player,Salary,Percent_team_salary
2022.0,BOS,Jayson Tatum,30351780.0,0.16991109054483328
2022.0,BOS,Jaylen Brown,29776785.0,0.16669223394044874
2022.0,BOS,Al Horford,26500000.0,0.14834859436375994
2022.0,BOS,Malcolm Brogdon,22600000.0,0.12651615972154623
2022.0,BOS,Marcus Smart,17207142.0,0.09632661617802328
2022.0,BOS,Derrick White,17142857.0,0.09596674488033746
2022.0,BOS,Robert Williams,10714287.0,0.05997922324754364
2022.0,BOS,Danilo Gallinari,6479000.0,0.03626983180689814
2022.0,BOS,Grant Williams,4306281.0,0.024106820123976094
2022.0,BOS,Mike Muscala,3500000.0,0.01959321057634565
2022.0,BOS,Blake Griffin,2905851.0,0.016267128727567026
2022.0,BOS,Payton Pritchard,2239200.0,0.012535176320729481
2022.0,BOS,Luke Kornet,2133278.0,0.011942218591967287
2022.0,BOS,Sam Hauser,1637966.0,0.009169432215684167
2022.0,BOS,Mfiondu Kabengele,508891.0,0.002848802435259176
2022.0,BOS,JD Davison,508891.0,0.002848802435259176
2022.0,BOS,Demetrius Jackson,92857.0,0.0005198190727107795
2022.0,BOS,Justin Champagnie,28241.0,0.00015809481711045073
2023.0,BOS,Jrue Holiday,37620347.0,0.2012419046550006
2023.0,BOS,Kristaps Porzingis,36016200.0,0.19266086744057498
2023.0,BOS,Jayson Tatum,32600060.0,0.17438696581579374
2023.0,BOS,Jaylen Brown,31830357.0,0.17026960619285705
2023.0,BOS,Derrick White,18857143.0,0.10087220550282835
2023.0,BOS,Al Horford,10000000.0,0.05349283584625113
2023.0,BOS,Payton Pritchard,4037277.0,0.02159653958268452
2023.0,BOS,Luke Kornet,2413304.0,0.012909447471910123
2023.0,BOS,Sviatoslav Mykhailiuk,2346614.0,0.012552703749651475
2023.0,BOS,Jaden Springer,2226240.0,0.011908789087435812
2023.0,BOS,Oshae Brissett,2165000.0,0.011581198960713369
2023.0,BOS,Xavier Tillman,1930681.0,0.010327760180447598
2023.0,BOS,Sam Hauser,1927896.0,0.010312862425664416
2023.0,BOS,Jordan Walsh,1119563.0,0.005988859977853645
2023.0,BOS,Neemias Queta,641035.0,0.003429078002670159
2023.0,BOS,JD Davison,559782.0,0.002994432663568615
2023.0,BOS,Drew Peterson,395708.0,0.002116754308704834
2023.0,BOS,Nathan Knight,160857.0,0.0008604697095720417
2023.0,BOS,Demetrius Jackson,92857.0,0.0004967184258175341
2022.0,ATL,Trae Young,37096500.0,0.2475801710363762
2022.0,ATL,John Collins,23500000.0,0.15683781540994005
2022.0,ATL,Clint Capela,18206896.0,0.12151190612919045
2022.0,ATL,Bogdan Bogdanovic,18000000.0,0.12013109265442216
2022.0,ATL,Dejounte Murray,17071120.0,0.11393179435748663
2022.0,ATL,De'Andre Hunter,9835881.0,0.06564417398604837
2022.0,ATL,Onyeka Okongwu,6395160.0,0.04268097547221414
2022.0,ATL,AJ Griffin,3536160.0,0.02360015358893675
2022.0,ATL,Saddiq Bey,2959080.0,0.019748750758435973
2022.0,ATL,Jalen Johnson,2792640.0,0.018637938588358084
2022.0,ATL,Bruno Fernando,2717391.0,0.01813573055551627
2022.0,ATL,Garrison Mathews,2000000.0,0.013347899183824685
2022.0,ATL,Aaron Holiday,1968175.0,0.013135500738062075
2022.0,ATL,Vit Krejci,1563518.0,0.010434840318047601
2022.0,ATL,Tyrese Martin,1017781.0,0.006792619089606136
2022.0,ATL,Trent Forrest,508891.0,0.0033963128817778637
2022.0,ATL,Jarrett Culver,260295.0,0.0017371957090268231
2022.0,ATL,Donovan Williams,239822.0,0.0016005599390316017
2022.0,ATL,Derrick Favors,167003.0,0.001114569603698137
2023.0,ATL,Trae Young,40064220.0,0.25173337020845044
2023.0,ATL,Clint Capela,20616000.0,0.12953540990483314
2023.0,ATL,De'Andre Hunter,20089286.0,0.1262259360062779
2023.0,ATL,Bogdan Bogdanovic,18700000.0,0.11749670960517945
2023.0,ATL,Dejounte Murray,18214000.0,0.11444305180474537
2023.0,ATL,Onyeka Okongwu,8109063.0,0.0509512417369575
2023.0,ATL,Patrick Mills,6802950.0,0.04274461179724896
2023.0,ATL,Saddiq Bey,4556983.0,0.02863264749875612
2023.0,ATL,Kobe Bufkin,4094244.0,0.025725144295227185
2023.0,ATL,AJ Griffin,3712920.0,0.023329191605735985
2023.0,ATL,Wesley Matthews,3196448.0,0.020084070717863993
2023.0,ATL,Jalen Johnson,2925360.0,0.018380757989872074
2023.0,ATL,Bruno Fernando,2581522.0,0.016220339078790485
2023.0,ATL,Garrison Mathews,2000000.0,0.012566493005901546
2023.0,ATL,Mouhamed Gueye,1119563.0,0.007034490304583076
2023.0,ATL,Trent Forrest,1112933.0,0.006992832380268512
2023.0,ATL,Seth Lundy,559782.0,0.0035172482939147894
2023.0,ATL,Vit Krejci,369971.0,0.0023246189919432004
2023.0,ATL,Miles Norris,193028.0,0.0012128425059715817
2023.0,ATL,Dylan Windler,135120.0,0.0008489922674787085
2022.0,BRK,Ben Simmons,35448672.0,0.22215579372398342
2022.0,BRK,Mikal Bridges,20100000.0,0.12596611387450754
2022.0,BRK,Spencer Dinwiddie,19500000.0,0.12220593137079089
2022.0,BRK,Joe Harris,18642857.0,0.11683424118448557
2022.0,BRK,Dorian Finney-Smith,12939848.0,0.08109365008392132
2022.0,BRK,Nicolas Claxton,9350000.0,0.05859617734958435
2022.0,BRK,Royce O'Neale,9200000.0,0.05765613172365519
2022.0,BRK,Seth Curry,8496653.0,0.05324827658458587
2022.0,BRK,Patrick Mills,6479000.0,0.040603704069300216
2022.0,BRK,Cameron Johnson,5887899.0,0.036899291339084525
2022.0,BRK,Jevon Carter,3925000.0,0.02459786054514637
2022.0,BRK,Cam Thomas,2138160.0,0.013399786370244629
2022.0,BRK,Day'Ron Sharpe,2109480.0,0.013220049646566973
2022.0,BRK,Yuta Watanabe,1968175.0,0.012334495332087506
2022.0,BRK,Edmond Sumner,1968175.0,0.012334495332087506
2022.0,BRK,David Duke,531283.0,0.0033295350685368153
2022.0,BRK,Alondes Williams,254446.0,0.0015946056622344747
2022.0,BRK,Dru Smith,251521.0,0.0015762747725288561
2022.0,BRK,Moses Brown,218636.0,0.0013701854364709864
2022.0,BRK,Nerlens Noel,151069.0,0.0009467450177566159
2022.0,BRK,RaiQuan Gray,5849.0,3.665551244039774e-05
2023.0,BRK,Ben Simmons,37893408.0,0.24444972908968063
2023.0,BRK,Cameron Johnson,25679348.0,0.16565703622644953
2023.0,BRK,Mikal Bridges,21700000.0,0.13998633010908043
2023.0,BRK,Dorian Finney-Smith,13932008.0,0.08987514612766588
