SEASON_START,REG_SEASON_END_DATE
1990,"April 21, 1991"
1991,"April 19, 1992"
1992,"April 25, 1993"
1993,"April 24, 1994"
1994,"April 23, 1995"
1995,"April 21, 1996"
1996,"April 20, 1997"
1997,"April 19, 1998"
1998,"May 5, 1999"
1999,"April 19, 2000"
2000,"April 18, 2001"
2001,"April 17, 2002"
2002,"April 16, 2003"
2003,"April 14, 2004"
2004,"April 20, 2005"
2005,"April 19, 2006"
2006,"April 18, 2007"
2007,"April 16, 2008"
2008,"April 16, 2009"
2009,"April 14, 2010"
2010,"April 13, 2011"
2011,"April 26, 2012"
2012,"April 17, 2013"
2013,"April 16, 2014"
2014,"April 15, 2015"
2015,"April 13, 2016"
2016,"April 12, 2017"
2017,"April 11, 2018"
2018,"April 7, 2019"
2019,"March 11, 2020"
2020,"May 16, 2021"
2021,"April 10, 2022"
2022,"April 9, 2023"
2023,"April 14, 2024"
