season_start,date,player_name,team_abv,player_id
1990,"July 24, 1990",Melvin Turpin,WSB,-3
1990,"October 19, 1990",Steve Bardo,ATL,-3
1990,"October 30, 1990",Mike Holton,CHH,-3
1990,"May 21, 1991",Dave Greenwood,SAS,-3
1991,"October 29, 1991",MiloÅ¡ BabiÄ,MIA,-3
1991,"October 30, 1991",Michael Smith,BOS,-3
1991,"November 12, 1991",JoÃ£o Vianna,DAL,-3
1991,"November 12, 1991",Steve Bardo,SAS,-3
1991,"December 31, 1991",MiloÅ¡ BabiÄ,MIA,-3
1991,"January 7, 1992",Ron Grandison,CHH,-3
1992,"October 22, 1992",Ron Grandison,ORL,-3
1992,"October 26, 1992",Michael Smith,MIL,-3
1992,"November 2, 1992",LaMark Baker,CHH,-3
1992,"November 5, 1992",Jo Jo English,CHI,-3
1992,"December 15, 1992",Jo Jo English,CHI,-3
1992,"January 6, 1993",Steve Bardo,DAL,-3
1993,"November 2, 1993",Isaac Austin,UTA,-3
1993,"November 2, 1993",Rich Manning,ATL,-3
1993,"December 6, 1993",LaBradford Smith,WSB,-3
1993,"January 5, 1994",Jo Jo English,MIN,-3
1994,"October 27, 1994",Steve Bardo,PHI,-3
1994,"October 31, 1994",LaBradford Smith,SAC,-3
1994,"October 31, 1994",Rich Manning,UTA,-3
1994,"November 1, 1994",Albert Burditt,HOU,-3
1994,"November 18, 1994",Jo Jo English,CHI,-3
1994,"December 15, 1994",Ron Grandison,NYK,-3
1995,"October 13, 1995",Charles Smith,PHI,-3
1995,"November 27, 1995",Rich Manning,VAN,-3
1995,"January 4, 1996",Logan Vander Velden,LAC,-3
1995,"January 5, 1996",Steve Bardo,DET,-3
1995,"January 5, 1996",Ron Grandison,MIA,-3
1996,"October 29, 1996",Richard PetruÅ¡ka,WSB,-3
1996,"January 6, 1997",Rich Manning,VAN,-3
1996,"February 27, 1997",Eddie Johnson,DEN,-3
1997,"October 8, 1997",KornÃ©l DÃ¡vid,CHI,-3
1997,"October 28, 1997",Rich Manning,LAC,-3
1997,"January 6, 1998",Charles Smith,SAS,-3
1997,"February 28, 1998",George ZÃ­dek,DEN,-3
1997,"March 27, 1998",George ZÃ­dek,SEA,-3
1998,"January 22, 1999",Isaac Fontaine,SAC,-3
1998,"January 27, 1999",Martin MÃ¼Ã¼rsepp,CHI,-3
1998,"February 19, 1999",LaMark Baker,TOR,-3
1999,"August 4, 1999",Charles Jones,CHI,-3
1999,"January 3, 2000",KornÃ©l DÃ¡vid,CHI,-3
1999,"February 9, 2000",Mirsad TÃ¼rkcan,NYK,-3
2000,"July 7, 2000",Charles Jones,LAC,-3
2000,"July 25, 2000",Isaac Fontaine,CLE,-3
2000,"September 26, 2000",Bruno Å undov,UTA,-3
2000,"October 4, 2000",Jaquay Walls,IND,-3
2000,"October 30, 2000",Cory Hightower,LAL,-3
2000,"December 19, 2000",Ademola Okulaja,PHI,-3
2000,"February 22, 2001",Felipe LÃ³pez,WAS,-3
2000,"February 28, 2001",RubÃ©n GarcÃ©s,GSW,-3
2000,"March 12, 2001",Pepe SÃ¡nchez,ATL,-3
2001,"July 25, 2001",Michael Smith,WAS,-3
2001,"October 4, 2001",Cory Hightower,CHH,-3
2001,"October 10, 2001",Larry Johnson,NYK,-3
2001,"October 10, 2001",Eric Chenowith,SAC,-3
2001,"October 24, 2001",Scoonie Penn,ATL,-3
2001,"October 25, 2001",Isaac Fontaine,LAL,-3
2001,"October 29, 2001",Aleksandar RadojeviÄ,MIL,-3
2001,"February 28, 2002",Isaac Austin,MEM,-3
2002,"October 9, 2002",Eric Chenowith,SEA,-3
2002,"October 24, 2002",Ãscar Torres,HOU,-3
2002,"October 24, 2002",Cedric Henderson,MIL,-3
2002,"October 24, 2002",Eric Chenowith,LAC,-3
2002,"December 27, 2002",Ãscar Torres,GSW,-3
2002,"February 21, 2003",RubÃ©n Wolkowyski,BOS,-3
2002,"May 7, 2003",Igor RakoÄeviÄ,MIN,-3
2003,"August 4, 2003",Predrag SavoviÄ,DEN,-3
2003,"August 8, 2003",Efthimis Rentzias,PHI,-3
2003,"September 4, 2003",Dalibor BagariÄ,CHI,-3
2003,"October 26, 2003",Ken Johnson,TOR,-3
2003,"October 31, 2003",Pepe SÃ¡nchez,GSW,-3
2003,"November 21, 2003",Wang Zhizhi,LAC,-3
2003,"December 24, 2003",Slavko VraneÅ¡,NYK,-3
2004,"October 15, 2004",Bruno Å undov,CLE,-3
2004,"October 28, 2004",Cezary TrybaÅski,CHI,-3
2004,"January 3, 2005",JÃ©rÃ´me MoÃ¯so,NJN,-3
2004,"February 24, 2005",Romain Sato,SAS,-3
2004,"June 29, 2005",Mamadou N'Diaye,LAC,-3
2005,"August 15, 2005",Clarence Weatherspoon,HOU,-3
2005,"August 16, 2005",RaÃ¼l LÃ³pez,MEM,-3
2005,"October 27, 2005",Eric Chenowith,DEN,-3
2006,"August 11, 2006",Zoran PlaniniÄ,NJN,-3
2006,"October 6, 2006",Eric Chenowith,CHI,-3
2006,"October 28, 2006",Ha Seung-Jin,MIL,-3
2007,"September 20, 2007",Å arÅ«nas JasikeviÄius,GSW,-3
2007,"October 12, 2007",Eric Chenowith,NOH,-3
2007,"October 29, 2007",Mile IliÄ,NOH,-3
2007,"October 30, 2007",D.J. Mbenga,DAL,-3
2007,"November 17, 2007",StÃ©phane Lasme,GSW,-3
2007,"December 18, 2007",Brandon Wallace,BOS,-3
2007,"February 22, 2008",Ronald Murray,DET,-3
2007,"February 29, 2008",Gordan GiriÄek,PHI,-3
2008,"July 29, 2008",Bobby Jones,NYK,-3
2008,"August 15, 2008",Bobby Jones,MIA,-3
2008,"October 20, 2008",Ron Howard,MIL,-3
2009,"October 7, 2009",Ron Howard,NYK,-3
2009,"October 10, 2009",MickaÃ«l Gelabale,LAL,-3
2009,"December 24, 2009",Marko JariÄ,MEM,-3
2009,"January 4, 2010",Roko UkiÄ,MIL,-3
2010,"August 14, 2010",Brian Butch,DEN,-3
2010,"January 20, 2011",Peja StojakoviÄ,TOR,-3
