,date,teams,players,includes_draft_picks
0,"November 16, 2020","{'PHO', 'OKC'}","{'Kelly Oubre Jr.', 'Ty Jerome', 'Chris Paul', 'Abdel Nader', 'Jalen Lecque', 'Peyton Watson', 'Ricky Rubio'}",True
1,"November 18, 2020","{'LAL', 'OKC'}","{'Jaden McDaniels', 'Dennis Schroder', 'Danny Green'}",False
2,"November 18, 2020","{'PHI', 'DAL'}","{'Tyler Bey', 'Josh Richardson', 'Seth Curry'}",False
3,"November 18, 2020","{'DET', 'UTA'}","{'Saben Lee', 'Tony Bradley'}",False
4,"November 18, 2020","{'MIL', 'CLE'}",{'Ilkan Karaman'},True
5,"November 18, 2020","{'MIL', 'ORL'}","{'Max Christie', 'Jordan Nwora'}",True
6,"November 19, 2020","{'CHO', 'NOP'}","{'Nick Richards', 'Tyler Kolek'}",True
7,"November 19, 2020","{'NOP', 'UTA'}","{'Elijah Hughes', 'Karlo MatkoviÄ\x87'}",True
8,"November 19, 2020","{'MEM', 'SAC'}","{'Isaiah Mobley', 'Robert Woodard', 'Xavier Tillman Sr.'}",True
9,"November 19, 2020","{'WAS', 'OKC'}","{'Admiral Schofield', 'Bobi Klintman', 'Cassius Winston', 'Vit Krejci'}",True
10,"November 19, 2020","{'MIN', 'LAC'}","{'Mathias Lessort', 'Daniel Oturu'}",True
11,"November 19, 2020","{'BOS', 'OKC'}",{'Vincent Poirier'},True
12,"November 19, 2020","{'DET', 'LAC', 'BRK'}","{'JT Thor', 'Saddiq Bey', 'Reggie Perry', 'Landry Shamet', 'Justin Patton', 'Julian Phillips', 'Dzanan Musa', 'Luke Kennard', 'Rodney McGruder', 'Jaylen Hands', 'Jay Scrubb', 'Jonathan Mogbo', 'Bruce Brown'}",True
13,"November 20, 2020","{'POR', 'BOS', 'MEM'}","{'Desmond Bane', 'Keyonte Johnson', 'Mario Hezonja', 'Enes Kanter'}",True
