,player,team_from,date
0,Eugene Omoruyi,DET,"July 1, 2023"
1,Bol Bol,ORL,"July 4, 2023"
2,Garrett Temple,NOP,"July 5, 2023"
3,Marko Simonovic,CHI,"July 6, 2023"
4,E.J. Liddell,NOP,"July 6, 2023"
5,Vernon Carey Jr.,UTA,"July 7, 2023"
6,P.J. Dozier,SAC,"July 8, 2023"
7,Edmond Sumner,BRK,"July 15, 2023"
8,Joe Wieskamp,TOR,"July 17, 2023"
9,Lamar Stevens,SAS,"July 17, 2023"
10,Raiquan Gray,BRK,"July 18, 2023"
11,Rudy Gay,OKC,"July 19, 2023"
12,Tyrese Martin,ATL,"July 21, 2023"
13,Duane Washington Jr.,NYK,"July 24, 2023"
14,Quenton Jackson,WAS,"July 24, 2023"
15,Cole Swider,LAL,"July 26, 2023"
16,Trevor Keels,NYK,"July 27, 2023"
17,Jeenathan Williams,POR,"July 28, 2023"
18,Justin Champagnie,BOS,"July 31, 2023"
19,Xavier Sneed,CHO,"August 3, 2023"
20,Brandon McCoy,MIA,"August 11, 2023"
21,Vit Krejci,ATL,"August 16, 2023"
22,TyTy Washington Jr.,OKC,"August 18, 2023"
23,Usman Garuba,OKC,"August 21, 2023"
24,JaVale McGee,DAL,"August 29, 2023"
25,Kobi Simmons,CHO,"August 30, 2023"
26,Alex AntetoKounmpo,MIL,"August 31, 2023"
27,Iverson Molinar,MIL,"September 2, 2023"
28,Obadiah Noel,NYK,"September 6, 2023"
29,Skal Labissiere,SAC,"September 8, 2023"
30,Cameron Payne,SAS,"September 11, 2023"
31,Nerlens Noel,SAC,"September 12, 2023"
32,Neemias Queta,SAC,"September 12, 2023"
33,Alex Morales,ORL,"September 15, 2023"
34,Dmytro Skapintsev,NYK,"September 15, 2023"
35,Bryce Hamilton,LAL,"September 18, 2023"
36,Javante McCoy,SAS,"September 20, 2023"
37,Keifer Sykes,BRK,"September 25, 2023"
38,Jordan Hall,BRK,"September 25, 2023"
39,Marcus Bagley,PHI,"September 26, 2023"
40,Chris Silva,ATL,"September 27, 2023"
41,Caleb Daniels,MIA,"September 27, 2023"
42,Jon Elmore,MIA,"September 27, 2023"
43,Jamaree Bouyea,MIA,"September 27, 2023"
44,Brandon Slater,BOS,"September 28, 2023"
45,Jordan Schakel,BOS,"September 28, 2023"
46,Taylor Funk,BOS,"September 28, 2023"
47,Scottie Lindsey,BRK,"September 28, 2023"
48,Kyler Edwards,BRK,"September 28, 2023"
49,Craig Sword,IND,"September 28, 2023"
50,Pedro Bradshaw,IND,"September 28, 2023"
51,Kevin Obanor,TOR,"September 28, 2023"
52,Devin Cannady,,"September 28, 2023"
53,Jaylen Sims,CHO,"September 29, 2023"
54,Tre Scott,CHO,"September 29, 2023"
55,Angelo Allegri,CHO,"September 29, 2023"
56,Joshua Obiesie,HOU,"September 29, 2023"
57,Darryl Morsell,TOR,"September 29, 2023"
58,Jayce Johnson,,"September 29, 2023"
59,Isaiah Todd,MEM,"September 30, 2023"
60,Josh Christopher,MEM,"September 30, 2023"
61,Seth Millner,SAS,"September 30, 2023"
62,Raiquan Gray,SAS,"September 30, 2023"
63,Elfrid Payton,IND,"September 30, 2023"
