,player,team_from,date
0,Anthony Bowie,HOU,"July 5, 1990"
1,Randy Allen,SAC,"July 9, 1990"
2,Michael Jackson,SAC,"July 9, 1990"
3,Melvin Turpin,WSB,"July 24, 1990"
4,Scott Haffner,MIA,"August 10, 1990"
5,Michael Cooper,LAL,"August 15, 1990"
6,Brian Rowsom,CHH,"September 5, 1990"
7,Uwe Blab,SAS,"October 1, 1990"
8,Quintin Dailey,LAL,"October 13, 1990"
9,Mario Elie,LAL,"October 15, 1990"
10,Jawann Oldham,DEN,"October 15, 1990"
11,Clifford Lett,DEN,"October 15, 1990"
12,Craig Neal,CHI,"October 15, 1990"
13,Jim Grandholm,DAL,"October 19, 1990"
14,Steve Bardo,ATL,"October 19, 1990"
15,Tony Harris,WSB,"October 20, 1990"
16,Scott Haffner,ATL,"October 22, 1990"
17,Mike Morrison,WSB,"October 22, 1990"
18,Jim Les,CHH,"October 23, 1990"
19,Andre Turner,CHH,"October 24, 1990"
20,Kelvin Upshaw,DAL,"October 28, 1990"
21,Jim Farmer,DEN,"October 29, 1990"
22,Leon Wood,MIN,"October 29, 1990"
23,Dan O'Sullivan,NJN,"October 29, 1990"
24,Dan Godfread,NJN,"October 29, 1990"
25,Doug Lee,NJN,"October 29, 1990"
26,Dyron Nix,IND,"October 30, 1990"
27,Richard Anderson,CHH,"October 30, 1990"
28,Mike Holton,CHH,"October 30, 1990"
29,Rick Calloway,SAS,"October 30, 1990"
30,Cedric Ball,LAC,"October 30, 1990"
31,Pete Myers,NJN,"October 30, 1990"
32,Anthony Mason,NJN,"October 30, 1990"
33,Jeff Sanders,MIA,"October 30, 1990"
34,Clinton Smith,LAC,"October 30, 1990"
35,Marty Conlon,SAC,"October 31, 1990"
36,Mike Mitchell,SAS,"November 1, 1990"
37,Byron Dinkins,HOU,"November 1, 1990"
38,Tim Legler,MIN,"November 1, 1990"
39,Gary Leonard,MIN,"November 1, 1990"
40,Roy Marble,HOU,"November 1, 1990"
41,Henry James,CLE,"November 2, 1990"
42,Howard Wright,ATL,"November 13, 1990"
43,Ricky Blanton,PHO,"November 14, 1990"
44,Mark McNamara,ORL,"November 15, 1990"
45,Stephen Thompson,DEN,"November 15, 1990"
46,Corey Gaines,DEN,"November 20, 1990"
47,Bart Kofoed,GSW,"November 26, 1990"
48,Alan Ogg,MIA,"December 3, 1990"
49,Eric Johnson,UTA,"December 4, 1990"
50,Mike Woodson,HOU,"December 4, 1990"
51,Milt Wagner,MIA,"December 5, 1990"
52,Cedric Ball,LAC,"December 5, 1990"
53,Tony Brown,LAL,"December 6, 1990"
54,Larry Robinson,WSB,"December 10, 1990"
55,Howard Wright,ORL,"December 12, 1990"
56,Byron Dinkins,SAS,"December 17, 1990"
57,Chris Munk,UTA,"December 18, 1990"
58,Pat Cummings,UTA,"December 24, 1990"
59,T.R. Dunn,DEN,"December 24, 1990"
60,Leon Wood,SAC,"December 24, 1990"
61,Mike Woodson,CLE,"December 24, 1990"
62,Dave Popson,BOS,"December 24, 1990"
63,Kelvin Upshaw,DAL,"December 24, 1990"
64,Reggie Williams,SAS,"December 24, 1990"
65,Avery Johnson,DEN,"December 24, 1990"
66,Jim Farmer,PHI,"December 24, 1990"
67,Pete Myers,SAS,"December 24, 1990"
68,Greg Butler,LAC,"December 26, 1990"
69,Steve Johnson,GSW,"January 11, 1991"
70,Stuart Gray,NYK,"January 23, 1991"
71,Kenny Battle,PHO,"January 23, 1991"
72,Jeff Sanders,CHH,"January 31, 1991"
73,Jawann Oldham,IND,"February 5, 1991"
74,Clinton Smith,WSB,"February 23, 1991"
75,Clifford Lett,SAS,"February 25, 1991"
76,Jay Edwards,LAC,"March 4, 1991"
77,Larry Robinson,GSW,"March 19, 1991"
78,Dan O'Sullivan,UTA,"April 1, 1991"
79,Trevor Wilson,ATL,"April 1, 1991"
80,John Long,DET,"April 5, 1991"
81,Dave Greenwood,SAS,"May 21, 1991"
82,Steve Scheffler,CHH,"May 31, 1991"
83,Ken Bannister,LAC,"June 21, 1991"
84,David Wingate,SAS,"June 28, 1991"
85,Randolph Keys,CHH,"July 15, 1991"
86,Scott Meents,UTA,"July 24, 1991"
87,Donald Royal,MIN,"August 16, 1991"
88,Kennard Winchester,HOU,"August 27, 1991"
89,Vinnie Johnson,DET,"September 4, 1991"
90,Larry Drew,LAL,"October 2, 1991"
91,Mychal Thompson,LAL,"October 2, 1991"
92,Gary Leonard,ATL,"October 3, 1991"
93,Bob McCann,DAL,"October 7, 1991"
94,Jeff Sanders,NYK,"October 7, 1991"
95,Mike Morrison,ORL,"October 9, 1991"
96,Scott Haffner,CHH,"October 11, 1991"
97,Howard Wright,DEN,"October 14, 1991"
98,Darrell Griffith,UTA,"October 22, 1991"
99,Adrian Caldwell,HOU,"October 23, 1991"
100,Demetrius Calip,LAL,"October 24, 1991"
101,Larry Robinson,WSB,"October 25, 1991"
102,Ralph Sampson,SAC,"October 25, 1991"
103,Emanual Davis,NJN,"October 25, 1991"
104,Kevin Pritchard,SAS,"October 28, 1991"
105,Gerald Henderson,HOU,"October 28, 1991"
106,Dan Godfread,MIN,"October 28, 1991"
107,Donald Royal,ORL,"October 28, 1991"
108,Michael Ansley,MIL,"October 28, 1991"
109,Dan O'Sullivan,UTA,"October 28, 1991"
110,Walter Palmer,UTA,"October 28, 1991"
111,Walter Davis,POR,"October 29, 1991"
112,Rory Sparrow,LAC,"October 29, 1991"
113,MiloÅ¡ BabiÄ,MIA,"October 29, 1991"
114,Stephen Thompson,SAC,"October 29, 1991"
115,Dave Popson,ATL,"October 29, 1991"
116,Tim Legler,WSB,"October 29, 1991"
117,Doug Overton,DET,"October 29, 1991"
118,Jim Grandholm,DAL,"October 30, 1991"
119,Joe Barry Carroll,PHO,"October 30, 1991"
120,Kennard Winchester,BOS,"October 30, 1991"
121,Chuck Nevitt,CHI,"October 30, 1991"
122,Michael Smith,BOS,"October 30, 1991"
123,Steve Scheffler,BOS,"October 30, 1991"
124,Rickey Green,PHI,"October 31, 1991"
125,Paul Graham,ATL,"October 31, 1991"
126,Billy Thompson,MIL,"October 31, 1991"
127,Corey Gaines,WSB,"October 31, 1991"
128,Tony Massenburg,SAS,"November 2, 1991"
129,Carl Thomas,SAC,"November 4, 1991"
130,Kevin Lynch,CHH,"November 5, 1991"
131,Dave Feitl,NJN,"November 8, 1991"
132,Kennard Winchester,HOU,"November 11, 1991"
133,JoÃ£o Vianna,DAL,"November 12, 1991"
134,Steve Bardo,SAS,"November 12, 1991"
135,Carlton McKinney,NYK,"November 14, 1991"
136,Demetrius Calip,LAL,"November 14, 1991"
137,John Morton,CLE,"November 14, 1991"
138,Trent Tucker,PHO,"November 15, 1991"
139,Mike Sanders,IND,"November 18, 1991"
140,Albert King,WSB,"November 19, 1991"
141,Kevin Pritchard,BOS,"November 25, 1991"
142,Rory Sparrow,CHI,"November 25, 1991"
143,Jerome Lane,DEN,"November 25, 1991"
144,Tellis Frank,MIN,"November 29, 1991"
145,Chucky Brown,CLE,"December 2, 1991"
146,Lanard Copeland,LAC,"December 3, 1991"
147,Morlon Wiley,ORL,"December 4, 1991"
