Year,Team,Player,Salary,Percent_team_salary
1991.0,BOS,Larry Bird,7070000.0,0.2789724973365426
1991.0,BOS,Kevin McHale,3500000.0,0.13810519670125873
1991.0,BOS,Reggie Lewis,3340000.0,0.13179181628062975
1991.0,BOS,Robert Parish,3000000.0,0.1183758828867932
1991.0,BOS,Kevin Gamble,1400000.0,0.055242078680503494
1991.0,BOS,Brian Shaw,1313000.0,0.05180917807678649
1991.0,BOS,Joe Kleine,950000.0,0.03748569624748451
1991.0,BOS,Ed Pinckney,900000.0,0.03551276486603796
1991.0,BOS,Dee Brown,705000.0,0.0278183324783964
1991.0,BOS,Stojko Vrankovic,665000.0,0.026239987373239158
1991.0,BOS,Michael Smith,625000.0,0.024661642268081915
1991.0,BOS,John Bagley,550000.0,0.021702245195912087
1991.0,BOS,Rick Fox,525000.0,0.02071577950518881
1991.0,BOS,Rickey Green,315000.0,0.012429467703113286
1991.0,BOS,Jim Paxson,225000.0,0.00887819121650949
1991.0,BOS,A.J. Wynder,130000.0,0.005129621591761039
1991.0,BOS,Kevin Pritchard,130000.0,0.005129621591761039
1992.0,BOS,Robert Parish,3513000.0,0.13931078240869255
1992.0,BOS,Kevin McHale,3500000.0,0.13879525716778363
1992.0,BOS,Reggie Lewis,3320000.0,0.13165721537058334
1992.0,BOS,Larry Bird,2300000.0,0.09120831185311497
1992.0,BOS,Xavier McDaniel,1869000.0,0.07411666732759646
1992.0,BOS,Sherman Douglas,1869000.0,0.07411666732759646
1992.0,BOS,Kevin Gamble,1200000.0,0.04758694531466868
1992.0,BOS,Joe Kleine,1150000.0,0.045604155926557484
1992.0,BOS,Ed Pinckney,1150000.0,0.045604155926557484
1992.0,BOS,Dee Brown,865000.0,0.03430225641432367
1992.0,BOS,Stojko Vrankovic,831000.0,0.03295395963040806
1992.0,BOS,Dino Radja,711000.0,0.02819526509894119
1992.0,BOS,Rick Fox,650000.0,0.025776262045445534
1992.0,BOS,Michael Smith,650000.0,0.025776262045445534
1992.0,BOS,John Bagley,550000.0,0.021810683269223145
1992.0,BOS,Alaa Abdelnaby,500000.0,0.01982789388111195
1992.0,BOS,A.J. Wynder,140000.0,0.0055518102867113455
1992.0,BOS,Bart Kofoed,140000.0,0.0055518102867113455
1992.0,BOS,Kenny Battle,140000.0,0.0055518102867113455
1992.0,BOS,Marcus Webb,140000.0,0.0055518102867113455
1992.0,BOS,Joe Wolf,29000.0,0.001150017845104493
1993.0,BOS,Robert Parish,4000000.0,0.22370113528326158
1993.0,BOS,Sherman Douglas,2300000.0,0.1286281527878754
1993.0,BOS,Xavier McDaniel,2145000.0,0.11995973379564902
1993.0,BOS,Dino Radja,1650000.0,0.09227671830434539
1993.0,BOS,Ed Pinckney,1470000.0,0.08221016721659863
1993.0,BOS,Kevin Gamble,1100000.0,0.06151781220289693
1993.0,BOS,Dee Brown,1025000.0,0.057323415916335774
1993.0,BOS,Stojko Vrankovic,831000.0,0.04647391085509759
1993.0,BOS,Alaa Abdelnaby,805000.0,0.04501985347575639
1993.0,BOS,Rick Fox,755000.0,0.04222358928471562
1993.0,BOS,Acie Earl,650000.0,0.03635143448353
1993.0,BOS,John Bagley,600000.0,0.033555170292489236
1993.0,BOS,Lorenzo Williams,250000.0,0.013981320955203849
1993.0,BOS,Chris Corchiani,150000.0,0.008388792573122309
1993.0,BOS,Matt Wenstrom,150000.0,0.008388792573122309
1994.0,BOS,Reggie Lewis,3300000.0,0.13490311503556537
1994.0,BOS,Dominique Wilkins,2820000.0,0.11528084375766495
1994.0,BOS,Sherman Douglas,2731000.0,0.11164254762488758
